dataset,split_id,split_method,metric,score,model
HIV,validate,random,roc_auc_score,0.5324403454838238,GradientBoostingClassifier
HIV,train,random,log_loss,1.146122144705222,GradientBoostingClassifier
HIV,validate,random,log_loss,1.2147351826402728,GradientBoostingClassifier
HIV,train,random,matthews_corrcoef,0.2086711418124325,GradientBoostingClassifier
HIV,validate,random,matthews_corrcoef,0.23447939704068757,GradientBoostingClassifier
HIV,train,random,accuracy_score,0.965300225991933,DummyClassifier
HIV,validate,random,accuracy_score,0.9627228525121556,DummyClassifier
HIV,train,random,f1_score,0.0,DummyClassifier
HIV,validate,random,f1_score,0.0,DummyClassifier
HIV,train,random,roc_auc_score,0.5,DummyClassifier
HIV,validate,random,roc_auc_score,0.5,DummyClassifier
HIV,train,random,log_loss,1.1984877354185626,DummyClassifier
HIV,validate,random,log_loss,1.287507061722765,DummyClassifier
HIV,train,random,matthews_corrcoef,0.0,DummyClassifier
HIV,validate,random,matthews_corrcoef,0.0,DummyClassifier
sol_del,train,random,accuracy_score,0.9968684759916493,SVC
sol_del,validate,random,accuracy_score,0.8588235294117647,SVC
sol_del,train,random,f1_score,0.9901639344262295,SVC
sol_del,validate,random,f1_score,0.5555555555555556,SVC
sol_del,train,random,roc_auc_score,0.9928429342751594,SVC
sol_del,validate,random,roc_auc_score,0.7090126811594203,SVC
sol_del,train,random,log_loss,0.10815984215257116,SVC
sol_del,validate,random,log_loss,4.87609547446981,SVC
sol_del,train,random,matthews_corrcoef,0.9883092746998612,SVC
sol_del,validate,random,matthews_corrcoef,0.4868273469488734,SVC
sol_del,train,random,accuracy_score,0.9864300626304802,LogisticRegression
sol_del,validate,random,accuracy_score,0.8647058823529412,LogisticRegression
sol_del,train,random,f1_score,0.9565217391304349,LogisticRegression
sol_del,validate,random,f1_score,0.5106382978723405,LogisticRegression
sol_del,train,random,roc_auc_score,0.9654569074006415,LogisticRegression
sol_del,validate,random,roc_auc_score,0.6766304347826086,LogisticRegression
sol_del,train,random,log_loss,0.4686915364573386,LogisticRegression
sol_del,validate,random,log_loss,4.672907387501391,LogisticRegression
sol_del,train,random,matthews_corrcoef,0.9488524610793903,LogisticRegression
sol_del,validate,random,matthews_corrcoef,0.48685382607753985,LogisticRegression
sol_del,train,random,accuracy_score,0.9989561586638831,RandomForestClassifier
sol_del,validate,random,accuracy_score,0.8588235294117647,RandomForestClassifier
sol_del,train,random,f1_score,0.9967426710097721,RandomForestClassifier
sol_del,validate,random,f1_score,0.5,RandomForestClassifier
sol_del,train,random,roc_auc_score,0.9993788819875776,RandomForestClassifier
sol_del,validate,random,roc_auc_score,0.6730072463768116,RandomForestClassifier
sol_del,train,random,log_loss,0.036053837152757645,RandomForestClassifier
sol_del,validate,random,log_loss,4.876081363926925,RandomForestClassifier
sol_del,train,random,matthews_corrcoef,0.9961286683703781,RandomForestClassifier
sol_del,validate,random,matthews_corrcoef,0.4632212456854254,RandomForestClassifier
sol_del,train,random,accuracy_score,0.9029227557411273,KNeighborsClassifier
sol_del,validate,random,accuracy_score,0.8294117647058824,KNeighborsClassifier
sol_del,train,random,f1_score,0.6950819672131147,KNeighborsClassifier
sol_del,validate,random,f1_score,0.5245901639344263,KNeighborsClassifier
sol_del,train,random,roc_auc_score,0.8178338001867413,KNeighborsClassifier
sol_del,validate,random,roc_auc_score,0.7028985507246377,KNeighborsClassifier
sol_del,train,random,log_loss,3.352967626522425,KNeighborsClassifier
sol_del,validate,random,log_loss,5.891970060111779,KNeighborsClassifier
sol_del,train,random,matthews_corrcoef,0.6373594317622571,KNeighborsClassifier
sol_del,validate,random,matthews_corrcoef,0.42171098863465345,KNeighborsClassifier
sol_del,train,random,accuracy_score,0.8632567849686847,GradientBoostingClassifier
sol_del,validate,random,accuracy_score,0.8352941176470589,GradientBoostingClassifier
sol_del,train,random,f1_score,0.27624309392265195,GradientBoostingClassifier
sol_del,validate,random,f1_score,0.2222222222222222,GradientBoostingClassifier
sol_del,train,random,roc_auc_score,0.5798359923679617,GradientBoostingClassifier
sol_del,validate,random,roc_auc_score,0.5625,GradientBoostingClassifier
sol_del,train,random,log_loss,4.722945831446337,GradientBoostingClassifier
sol_del,validate,random,log_loss,5.688739641514702,GradientBoostingClassifier
sol_del,train,random,matthews_corrcoef,0.3472577038687341,GradientBoostingClassifier
sol_del,validate,random,matthews_corrcoef,0.32235952390243167,GradientBoostingClassifier
sol_del,train,random,accuracy_score,0.8402922755741128,DummyClassifier
sol_del,validate,random,accuracy_score,0.8117647058823529,DummyClassifier
sol_del,train,random,f1_score,0.0,DummyClassifier
sol_del,validate,random,f1_score,0.0,DummyClassifier
sol_del,train,random,roc_auc_score,0.5,DummyClassifier
sol_del,validate,random,roc_auc_score,0.5,DummyClassifier
